step,train_acts_billions,train_loss
24,9.8e-05,2.3286
47,0.000193,2.3179
71,0.000291,2.3078
94,0.000385,2.3054
118,0.000483,2.2866
142,0.000582,2.2781
165,0.000676,2.2558
189,0.000774,2.2188
213,0.000872,2.1753
236,0.000967,2.1144
260,0.001065,2.0376
284,0.001163,1.9737
307,0.001257,1.9392
332,0.00136,1.9215
356,0.001458,1.9042
380,0.001556,1.8961
403,0.001651,1.8912
428,0.001753,1.8729
451,0.001847,1.8592
475,0.001946,1.8436
499,0.002044,1.8326
523,0.002142,1.8102
547,0.002241,1.809
571,0.002339,1.8037
594,0.002433,1.784
618,0.002531,1.783
641,0.002626,1.7664
665,0.002724,1.7483
688,0.002818,1.7368
712,0.002916,1.7378
734,0.003006,1.7193
757,0.003101,1.7205
779,0.003191,1.691
803,0.003289,1.6813
827,0.003387,1.6928
851,0.003486,1.6743
875,0.003584,1.6487
898,0.003678,1.6305
921,0.003772,1.6225
945,0.003871,1.6121
969,0.003969,1.5865
993,0.004067,1.5845
1017,0.004166,1.5692
1040,0.00426,1.5802
1063,0.004354,1.5645
1087,0.004452,1.5489
1111,0.004551,1.5295
1135,0.004649,1.5231
1159,0.004747,1.5184
1182,0.004841,1.5153
1205,0.004936,1.5088
1229,0.005034,1.4962
1251,0.005124,1.487
1274,0.005218,1.4871
1297,0.005313,1.47
1321,0.005411,1.4726
1345,0.005509,1.4684
1368,0.005603,1.4692
1392,0.005702,1.4606
1417,0.005804,1.4533
1440,0.005898,1.4427
1464,0.005997,1.444
1487,0.006091,1.4292
1511,0.006189,1.4218
1534,0.006283,1.4252
1557,0.006377,1.4111
1582,0.00648,1.4221
1604,0.00657,1.412
1627,0.006664,1.4028
1650,0.006758,1.3994
1673,0.006853,1.3975
1698,0.006955,1.3905
1722,0.007053,1.3879
1745,0.007148,1.3823
1770,0.00725,1.3711
1794,0.007348,1.3881
1817,0.007442,1.3714
1841,0.007541,1.3646
1864,0.007635,1.3623
1888,0.007733,1.3592
1912,0.007832,1.3486
1936,0.00793,1.3456
1960,0.008028,1.3473
1983,0.008122,1.3451
2007,0.008221,1.3385
2031,0.008319,1.3329
2054,0.008413,1.3423
2078,0.008511,1.3259
2101,0.008606,1.335
2125,0.008704,1.3271
2148,0.008798,1.3236
2172,0.008897,1.3232
2195,0.008991,1.3181
2219,0.009089,1.3185
2243,0.009187,1.3145
2268,0.00929,1.2936
2292,0.009388,1.3068
2316,0.009486,1.2942
2339,0.009581,1.3021
2363,0.009679,1.2862
2386,0.009773,1.2905
2409,0.009867,1.2905
2433,0.009966,1.2796
2457,0.010064,1.2867
2480,0.010158,1.284
2503,0.010252,1.2775
2526,0.010346,1.2761
2550,0.010445,1.2728
2574,0.010543,1.2664
2598,0.010641,1.262
2621,0.010736,1.2606
2645,0.010834,1.2605
2669,0.010932,1.2638
2693,0.011031,1.2654
2717,0.011129,1.2745
2741,0.011227,1.2623
2764,0.011321,1.2621
2788,0.01142,1.2666
2812,0.011518,1.2489
2835,0.011612,1.2428
2859,0.01171,1.2427
2884,0.011813,1.2388
2908,0.011911,1.2426
2932,0.012009,1.2378
2955,0.012104,1.2465
2979,0.012202,1.2336
3002,0.012296,1.2296
3026,0.012394,1.2367
3050,0.012493,1.2318
3074,0.012591,1.2416
3097,0.012685,1.2376
3122,0.012788,1.2283
